node_id,stop_id,route_id,stop_lat,stop_lon,cluster_id,mode
1,3491,27,43.42224922222223,-80.44161911111112,1014,bus
2,1047,27,43.42403,-80.434555,29,bus
3,4107,27,43.428152,-80.431433,1203,bus
4,1563,27,43.426165,-80.425117,303,bus
5,1565,27,43.425121,-80.419777,304,bus
6,1655,27,43.425699,-80.410941,344,bus
7,1642,27,43.424101,-80.412276,338,bus
8,1647,27,43.426033,-80.413406,339,bus
9,1648,27,43.427941000000004,-80.4146055,340,bus
10,1649,27,43.429921,-80.4163765,341,bus
11,1650,27,43.4321,-80.414608,342,bus
12,2478,27,43.43524,-80.416117,730,bus
13,4244,27,43.433252,-80.414921,1250,bus
14,1652,27,43.431172,-80.416272,343,bus
15,1653,27,43.429921,-80.4163765,341,bus
16,2479,27,43.427941000000004,-80.4146055,340,bus
17,1656,27,43.42692,-80.419147,345,bus
18,1657,27,43.427684,-80.420976,346,bus
19,1658,27,43.427343,-80.424747,347,bus
20,1659,27,43.42823,-80.427605,348,bus
21,1660,27,43.429705,-80.430828,349,bus
22,1042,27,43.42887866666666,-80.432413,26,bus
23,1044,27,43.423315,-80.436234,28,bus
24,1519,63,43.35736175,-80.31318933333334,296,bus
25,1523,63,43.3547115,-80.313784,297,bus
26,4163,63,43.350801,-80.307486,1219,bus
27,4209,63,43.349612,-80.307082,1233,bus
28,2274,63,43.347808,-80.306507,633,bus
29,2275,63,43.347995,-80.304629,634,bus
30,2276,63,43.346411,-80.303278,635,bus
31,4124,63,43.34646,-80.2990425,600,bus
32,4125,63,43.347165,-80.295683,1210,bus
33,4119,63,43.348005,-80.29250833333333,639,bus
34,2295,63,43.351434,-80.294361,640,bus
35,4120,63,43.353168,-80.295018,1209,bus
36,2297,63,43.354414,-80.295597,642,bus
37,2298,63,43.3565225,-80.2966095,293,bus
38,4220,63,43.358402,-80.297122,1237,bus
39,2165,63,43.36096333333333,-80.29802566666666,589,bus
40,2166,63,43.362023,-80.298607,590,bus
41,4221,63,43.363111,-80.299001,1238,bus
42,2167,63,43.365038,-80.299843,591,bus
43,2168,63,43.366563,-80.300443,592,bus
44,2169,63,43.368174,-80.300338,593,bus
45,2170,63,43.368813,-80.297196,594,bus
46,2171,63,43.367033,-80.294797,595,bus
