pair,available,n_overlap_od,share_a_better,share_b_better,share_tie,avg_delta_a_minus_b,median_delta_a_minus_b
road_vs_bus,True,17053,0.9999413592916202,5.8640708379757225e-05,0.0,-19.051680463661125,-18.821999562459816
road_vs_ion,True,20881,0.974618073847038,0.025381926152962024,0.0,-10.182680265038213,-10.345831286535539
bus_vs_ion,True,31539,0.0,0.9702907511335173,0.029709248866482768,9.36549552934462,8.497499999999999
