network,od_pairs,avg_generalized_cost,median_generalized_cost,p90_generalized_cost
bus,31539,29.991792399885856,29.2433,45.47336000000001
ion,41209,20.81151844014657,20.4158,30.692000000000004
road,41821,9.800952708699997,8.172817304509662,19.82989100225748
