origin_zone_id,dest_zone_id,bus,ion,transit_min_gc
13010,40521,,49.1984,49.1984
13010,40436,,48.215,48.215
13010,40528,,47.7035,47.7035
13010,40424,,47.620999999999995,47.620999999999995
13010,40777,,46.77950000000001,46.77950000000001
13010,40791,,46.6937,46.6937
13010,40908,,46.33070000000001,46.33070000000001
13011,40521,,46.264700000000005,46.264700000000005
40424,13138,62.43800000000001,45.838999999999984,45.838999999999984
13010,40535,,45.617900000000006,45.617900000000006
40424,12715,59.0852,45.6146,45.6146
13010,40435,,45.3209,45.3209
13011,40436,,45.28130000000001,45.28130000000001
40521,13138,60.758300000000006,45.14929999999999,45.14929999999999
13010,40513,,45.10970000000001,45.10970000000001
40424,13008,,44.93809999999999,44.93809999999999
40521,12715,57.4055,44.924899999999994,44.924899999999994
13010,21218,,44.898500000000006,44.898500000000006
13011,40528,,44.7698,44.7698
13010,21626,,44.7071,44.7071
13011,40424,,44.6873,44.6873
40424,12904,,44.6774,44.6774
13002,40436,,44.3276,44.3276
40424,12710,57.052400000000006,44.175799999999995,44.175799999999995
13010,40506,,44.11970000000001,44.11970000000001
40438,13138,,44.00749999999999,44.00749999999999
40521,13008,,43.98439999999999,43.98439999999999
13010,40536,,43.981100000000005,43.981100000000005
13011,40777,,43.84580000000001,43.84580000000001
40424,13009,56.7224,43.8458,43.8458
40438,12715,,43.7831,43.7831
13011,40791,,43.760000000000005,43.760000000000005
40521,12904,,43.723699999999994,43.723699999999994
13009,40436,,43.720400000000005,43.720400000000005
40434,13138,,43.677499999999995,43.677499999999995
40424,13010,56.3924,43.54879999999999,43.54879999999999
40903,13138,55.7126,43.4894,43.4894
13002,40528,47.729899999999994,43.4861,43.4861
40521,12710,55.3727,43.48609999999999,43.48609999999999
40434,12715,,43.45309999999999,43.45309999999999
13010,40526,,43.42010000000001,43.42010000000001
12904,40521,,43.4102,43.4102
40737,13138,53.2013,43.400299999999994,43.400299999999994
13011,40908,,43.397000000000006,43.397000000000006
13010,40511,,43.39040000000001,43.39040000000001
12710,40436,,43.39040000000001,43.39040000000001
13010,40514,,43.32770000000001,43.32770000000001
13010,40508,,43.28810000000001,43.28810000000001
40424,13136,55.8413,43.2683,43.2683
40903,12715,52.35979999999999,43.265,43.265
40424,13002,56.0624,43.23859999999999,43.23859999999999
40521,13009,55.0427,43.156099999999995,43.156099999999995
40906,13138,52.8713,43.15279999999999,43.15279999999999
13008,40521,,43.1495,43.1495
40438,13008,,43.10659999999999,43.10659999999999
13010,40530,,43.05050000000001,43.05050000000001
40424,12707,55.58390000000001,43.01089999999999,43.01089999999999
40424,13011,55.732400000000005,42.88219999999999,42.88219999999999
13009,40528,47.06989999999999,42.87890000000001,42.87890000000001
13002,40521,,42.8591,42.8591
40521,13010,54.7127,42.85909999999999,42.85909999999999
13010,40426,,42.852500000000006,42.852500000000006
40438,12904,,42.8459,42.8459
40434,13008,,42.776599999999995,42.776599999999995
40909,13138,52.211299999999994,42.76669999999999,42.76669999999999
13011,40535,,42.6842,42.6842
40424,13006,55.4024,42.674299999999974,42.674299999999974
40521,13136,54.16160000000001,42.578599999999994,42.578599999999994
13002,40777,45.3077,42.56210000000001,42.56210000000001
12710,40528,46.73989999999999,42.5489,42.5489
40521,13002,54.3827,42.54889999999999,42.54889999999999
40434,12904,,42.515899999999995,42.515899999999995
13010,21668,,42.440000000000005,42.440000000000005
12904,40436,,42.42680000000001,42.42680000000001
40424,12712,54.9866,42.413599999999995,42.413599999999995
13006,40521,,42.3905,42.3905
13011,40435,,42.3872,42.3872
40438,12710,,42.3443,42.3443
40521,12707,53.9042,42.32119999999999,42.32119999999999
13138,40521,,42.3047,42.3047
13010,40402,,42.2783,42.2783
13009,40521,,42.25189999999999,42.25189999999999
40424,12507,,42.20239999999999,42.20239999999999
40521,13011,54.0527,42.192499999999995,42.192499999999995
13011,40513,,42.17600000000001,42.17600000000001
13008,40436,,42.1661,42.1661
40438,13009,,42.01429999999999,42.01429999999999
40434,12710,,42.01429999999999,42.01429999999999
40521,13006,53.7227,41.98459999999997,41.98459999999997
13011,21218,,41.9648,41.9648
13009,40777,44.6477,41.95490000000001,41.95490000000001
12715,40436,,41.9516,41.9516
13136,40521,,41.9516,41.9516
13010,40434,,41.94500000000001,41.94500000000001
40903,13008,,41.935099999999984,41.935099999999984
12710,40521,,41.921899999999994,41.921899999999994
12904,40528,,41.9153,41.9153
40526,13138,60.42500000000001,41.892199999999995,41.892199999999995
40422,13138,71.30180000000001,41.8625,41.8625
13010,40406,,41.8526,41.8526
12904,40424,,41.8328,41.8328
