distance_bin,od_pairs,avg_road_km,avg_road_gc,avg_bus_gc,avg_ion_gc,share_bus_better_than_road,share_ion_better_than_road
"(0.0183, 2.044]",5202,1.1292360973564315,1.2449412032341554,15.694767439516129,12.970831551446947,0.0,0.0
"(2.044, 3.749]",5202,2.9083546648582392,3.163831696135386,19.30978114348543,15.000120955721176,0.0,0.0
"(3.749, 5.656]",5202,4.675058063390616,5.007438355032485,22.32970504716981,16.884482615694168,0.0,0.0
"(5.656, 8.03]",5202,6.792622670262837,7.121727357815,25.422675568973524,18.98538514040562,0.00019223375624759708,0.00019223375624759708
"(8.03, 11.667]",5202,9.665969844453615,9.70995181957398,29.396164265536726,20.497485568952527,0.0,0.004229142637447136
"(11.667, 15.929]",5202,13.949862691305396,13.48075083815558,34.455040875,22.045752527994573,0.0,0.024605920799692427
"(15.929, 19.282]",5202,17.544267065836905,17.082204890088768,39.141067601683034,24.81086406015038,0.0,0.03594771241830065
"(19.282, 29.483]",5202,22.668333412548524,21.98301067013431,45.12127732290708,29.89206484757245,0.0,0.03690888119953864
