node_id,x_coord,y_coord,stop_id,route_id,stop_lat,stop_lon,cluster_id,zone_id
1,545199.8526318027,4807857.985998835,3491,27,43.42224922222223,-80.44161911111112,1014,22001
2,545770.3381733594,4808059.608494164,1047,27,43.42403,-80.434555,29,21903
3,546019.9282736953,4808519.104226978,4107,27,43.428152,-80.431433,1203,21414
4,546532.6696668793,4808301.940991497,1563,27,43.426165,-80.425117,303,21412
5,546965.7124757147,4808188.992773842,1565,27,43.425121,-80.419777,304,21412
6,547680.4835713696,4808258.200600344,1655,27,43.425699,-80.410941,344,21419
7,547573.6752254468,4808079.968803897,1642,27,43.424101,-80.412276,338,21411
8,547480.6964433778,4808293.8864025455,1647,27,43.426033,-80.413406,339,21419
9,547382.1167749058,4808505.100426953,1648,27,43.427941000000004,-80.4146055,340,21410
10,547237.2310322297,4808723.987933517,1649,27,43.429921,-80.4163765,341,21410
11,547378.6700800862,4808966.985096716,1650,27,43.4321,-80.414608,342,21421
12,547254.0957113687,4809314.847523332,2478,27,43.43524,-80.416117,730,21421
13,547352.4391787127,4809094.744928027,4244,27,43.433252,-80.414921,1250,21421
14,547244.7159415118,4808862.979495182,1652,27,43.431172,-80.416272,343,21421
15,547237.7310322297,4808723.987933517,1653,27,43.429921,-80.4163765,341,21410
16,547382.6167749058,4808505.100426953,2479,27,43.427941000000004,-80.4146055,340,21410
17,547015.3150750367,4808389.139373397,1656,27,43.42692,-80.419147,345,21410
18,546866.6826833109,4808472.956756791,1657,27,43.427684,-80.420976,346,21429
19,546561.715619708,4808432.972697706,1658,27,43.427343,-80.424747,347,21413
20,546329.7084592651,4808529.887508202,1659,27,43.42823,-80.427605,348,21413
21,546067.7193204014,4808691.909940961,1660,27,43.429705,-80.430828,349,21418
22,545940.0571291682,4808599.264952236,1042,27,43.42887866666666,-80.432413,26,21407
23,545634.9671884049,4807979.282206193,1044,27,43.423315,-80.436234,28,22001
24,555655.3633975369,4800729.473811563,1519,63,43.35736175,-80.31318933333334,296,13001
25,555609.5949132596,4800434.751996007,1523,63,43.3547115,-80.313784,297,13006
26,556123.5774833943,4800004.684752667,4163,63,43.350801,-80.307486,1219,13016
27,556157.415311327,4799872.911388933,4209,63,43.349612,-80.307082,1233,13016
28,556205.6808506589,4799672.9541740725,2274,63,43.347808,-80.306507,633,13016
29,556357.7149587019,4799694.9879234405,2275,63,43.347995,-80.304629,634,13012
30,556468.6781336077,4799519.989042746,2276,63,43.346411,-80.303278,635,13012
31,556811.9168353182,4799528.30493674,4124,63,43.34646,-80.2990425,600,13014
32,557083.5411583221,4799608.891219874,4125,63,43.347165,-80.295683,1210,13014
33,557340.0518383386,4799704.353987076,4119,63,43.348005,-80.29250833333333,639,13021
34,557186.6788009128,4800083.892579075,2295,63,43.351434,-80.294361,640,13003
35,557131.8071244409,4800276.013129789,4120,63,43.353168,-80.295018,1209,13003
36,557083.7168294288,4800413.992318855,2297,63,43.354414,-80.295597,642,13003
37,556999.6915419685,4800647.461248813,2298,63,43.3565225,-80.2966095,293,13015
38,556956.4025996801,4800855.840623986,4220,63,43.358402,-80.297122,1237,13127
39,556880.7825912893,4801139.675162881,2165,63,43.36096333333333,-80.29802566666666,589,13127
40,556832.6879980041,4801256.961222916,2166,63,43.362023,-80.298607,590,13102
41,556799.7476743021,4801377.521716688,4221,63,43.363111,-80.299001,1238,13102
42,556729.7271251918,4801590.953585582,2167,63,43.365038,-80.299843,591,13102
43,556679.6924612091,4801759.906091117,2168,63,43.366563,-80.300443,592,13102
44,556686.6995344113,4801938.888550506,2169,63,43.368174,-80.300338,593,13102
45,556940.667729506,4802011.992846815,2170,63,43.368813,-80.297196,594,13102
46,557136.7043584816,4801815.953279444,2171,63,43.367033,-80.294797,595,13102
47,557222.6819145469,4801527.914427291,2172,63,43.364433,-80.293766,596,13102
48,557367.0677709951,4801557.940619909,2173,63,43.36469233333333,-80.29198099999999,289,13119
49,557507.3918680676,4801203.191462538,1504,63,43.361487499999996,-80.29028650000001,290,13101
50,557559.6777745294,4800805.97222095,1505,63,43.357907,-80.289683,291,13101
51,557363.3953092231,4800730.002679119,1506,63,43.357237999999995,-80.292113,292,13003
52,557000.1915419685,4800647.461248813,1507,63,43.3565225,-80.2966095,293,13015
53,556661.7037579371,4800618.909700913,2301,63,43.356291,-80.300783,643,13128
54,556472.7395906053,4800644.983887454,2302,63,43.35654,-80.303112,644,13128
55,556077.6916862832,4800709.889390073,2304,63,43.357154,-80.30798,645,13138
56,555840.0223849122,4800923.052353332,2125,63,43.359091,-80.310891,327,13027
57,553463.7902580939,4802660.527962083,2343,57,43.374908,-80.340044,668,12715
58,553746.6000098028,4802550.819583838,2342,57,43.3739,-80.33656400000001,667,12715
59,553975.8093222157,4802387.273291585,2341,57,43.372411,-80.333751,120,12713
60,554077.3049634829,4802263.471795688,2340,57,43.371289000000004,-80.33251050000001,119,12713
61,554248.743666706,4802066.931114616,2197,57,43.369507,-80.330414,611,12716
62,554422.7077700709,4801874.96859193,2198,57,43.367766,-80.328286,612,12716
63,554523.694719366,4801760.943088861,2199,57,43.366732,-80.327051,613,12716
64,554854.703581549,4801449.978470747,2200,57,43.363908,-80.322997,614,12908
65,554975.4779706881,4801315.795569027,2607,57,43.362691,-80.32152,765,12904
66,555192.8698990166,4801298.352754627,2608,57,43.362518,-80.318839,766,13008
67,555200.4047135737,4801154.58740306,2620,57,43.361222999999995,-80.3187605,606,13008
68,555200.9104321674,4800968.560695029,2632,57,43.359548,-80.318773,777,13002
69,555646.6789955181,4800891.915671018,2212,57,43.358825,-80.31328,620,13001
70,555655.8633975369,4800729.473811563,1522,57,43.35736175,-80.31318933333334,296,13001
71,548307.7224528037,4804335.444973005,1732,57,43.3903385,-80.403539,394,22102
72,547783.706487807,4804406.962067867,1734,57,43.391016,-80.41000249999999,391,22102
73,547664.5425406777,4804065.715830586,1728,57,43.387951,-80.4115035,392,22102
74,548561.7381015669,4803578.324693464,3388,57,43.383505,-80.40047,987,13202
75,548751.7078745349,4803778.271519771,3888,57,43.385293,-80.398107,1141,13204
76,549367.6876279495,4803838.997576382,3525,57,43.385799500000005,-80.39049700000001,1025,13204
77,549738.1812490878,4803658.240373304,1685,57,43.3841475,-80.3859395,364,13201
78,550292.6328349094,4803578.937150596,1688,57,43.3833965,-80.37910199999999,365,13201
79,555500.7023011368,4800914.927756467,2186,57,43.359043,-80.315079,604,13001
80,555292.0399590689,4800883.934676276,2187,57,43.35877933333333,-80.317657,605,13002
81,555200.9047135737,4801154.58740306,2188,57,43.361222999999995,-80.3187605,606,13008
