node_id,stop_id,route_id,stop_lat,stop_lon,cluster_id
1530,1212,21,43.501630500000005,-80.5306325,124
1531,3798,21,43.4981801,-80.528983,72
1532,4004,21,43.498135,-80.529576,1431
1533,2089,21,43.50215,-80.533607,648
1534,3848,21,43.5035155,-80.5354135,1356
1535,2090,21,43.50483,-80.536781,649
1536,3727,21,43.5101715,-80.543012,1293
1537,3807,21,43.51067,-80.54938,1329
1538,2091,21,43.5099745,-80.555849,650
1539,3836,21,43.515887,-80.557272,1349
1540,3808,21,43.527963,-80.555454,1330
1541,2092,21,43.532993,-80.554572,651
1542,4090,21,43.535212,-80.55427900000001,1474
1543,2093,21,43.53779,-80.5538375,652
1544,2094,21,43.5407195,-80.5533505,653
1545,3809,21,43.544898,-80.5507965,1331
1546,3729,21,43.543376,-80.547948,1294
1547,3837,21,43.554805,-80.555365,1350
1548,3884,21,43.561607,-80.558683,1379
1549,3838,21,43.567114000000004,-80.561386,1351
1550,3810,21,43.57685,-80.563043,1332
1551,3811,21,43.5808635,-80.5626235,1333
1552,3812,21,43.584270000000004,-80.562184,1334
1553,3813,21,43.589247,-80.5615035,1335
1554,3873,21,43.592572,-80.560934,1373
1555,3814,21,43.594534,-80.560722,1336
1556,3815,21,43.596701,-80.560099,1337
1557,3816,21,43.597968,-80.559173,1338
1558,1057,205,43.4565685,-80.4318415,34
1559,1690,205,43.4539015,-80.435411,401
1560,4097,205,43.45124066666667,-80.44446666666666,11
1561,1940,205,43.448615,-80.451337,554
1562,2633,205,43.4476995,-80.458479,902
1563,2635,205,43.444278,-80.466881,553
1564,1390,205,43.442329,-80.4742135,244
1565,1481,205,43.437349,-80.476675,307
1566,1434,205,43.43435566666667,-80.47895133333333,280
1567,2937,205,43.425111,-80.48385999999999,1000
1568,3229,205,43.423022,-80.4875365,113
1569,4091,205,43.42201599999999,-80.49409866666667,992
1570,4299,205,43.420486999999994,-80.50122049999999,1477
1571,4095,205,43.417612,-80.510396,1478
1572,1675,205,43.415274000000004,-80.51704733333334,402
1573,4096,205,43.41644366666667,-80.51114533333333,1035
1574,4094,205,43.420486999999994,-80.50122049999999,1477
1575,4092,205,43.421673,-80.493619,1475
1576,2906,205,43.422937,-80.486743,999
1577,2907,205,43.425111,-80.48385999999999,1000
1578,1440,205,43.433971,-80.478634,283
