node_id,x_coord,y_coord
1,545250.5428553397,4807893.396621294
2,545770.3381733594,4808059.608494164
3,546019.9282736953,4808519.104226978
4,546532.6696668793,4808301.940991497
5,546965.7124757147,4808188.992773842
6,547680.4835713696,4808258.200600344
7,547573.6752254468,4808079.968803897
8,547480.6964433778,4808293.8864025455
9,547393.7155772047,4808495.9637223715
10,547236.7298778754,4808731.98092039
11,547378.6700800862,4808966.985096716
12,547311.6958333296,4809133.886201378
13,547244.7159415118,4808862.979495182
14,547237.7321875633,4808715.994946774
15,547370.5180040447,4808514.237151364
16,547015.3150750367,4808389.139373397
17,546866.6826833109,4808472.956756791
18,546561.715619708,4808432.972697706
19,546329.7084592651,4808529.887508202
20,546067.7193204014,4808691.909940961
21,545960.7342535938,4808593.889716448
22,545634.9671884049,4807979.282206193
23,555673.6943115375,4800720.989533214
24,555585.4745805376,4800460.59802496
25,556123.5774833943,4800004.684752667
26,556157.415311327,4799872.911388933
27,556205.6808506589,4799672.9541740725
28,556357.7149587019,4799694.9879234405
29,556468.6781336077,4799519.989042746
30,556809.1291153781,4799517.619442191
31,557083.5411583221,4799608.891219874
32,557297.0722476357,4799719.649768513
33,557186.6788009128,4800083.892579075
34,557131.8071244409,4800276.013129789
35,557083.7168294288,4800413.992318855
36,557015.6876546788,4800638.988662022
37,556956.4025996801,4800855.840623986
38,556872.6783553755,4801126.9087109985
39,556832.6879980041,4801256.961222916
40,556799.7476743021,4801377.521716688
41,556729.7271251918,4801590.953585582
42,556679.6924612091,4801759.906091117
43,556686.6995344113,4801938.888550506
44,556940.667729506,4802011.992846815
45,557136.7043584816,4801815.953279444
46,557222.6819145469,4801527.914427291
47,557343.7290528168,4801519.943877323
48,557510.4069971003,4801177.394756048
49,557559.6777745294,4800805.97222095
50,557295.0773395987,4800739.641368886
51,556983.6954697295,4800655.933873176
52,556661.7037579371,4800618.909700913
53,556472.7395906053,4800644.983887454
54,556077.6916862832,4800709.889390073
55,555872.7017515448,4800900.88749872
56,553433.8672149165,4802664.067453211
57,553720.4892043427,4802553.721755523
58,553956.4980211325,4802401.001985115
59,554078.0806766085,4802252.593819716
60,554248.743666706,4802066.931114616
61,554422.7077700709,4801874.96859193
62,554523.694719366,4801760.943088861
63,554854.703581549,4801449.978470747
64,554975.4779706881,4801315.795569027
65,555192.8698990166,4801298.352754627
66,555198.1079444779,4801123.248830677
67,555200.9104321674,4800968.560695029
68,555646.6789955181,4800891.915671018
69,555630.7067459417,4800685.984029778
70,548309.698398882,4804330.9610963445
71,547798.7372618006,4804428.947595829
72,547650.4012675309,4804066.726683302
73,548561.7381015669,4803578.324693464
74,548751.7078745349,4803778.271519771
75,549381.2404767922,4803835.487108457
76,549746.673812393,4803643.476099664
77,550316.5968998038,4803569.841873621
78,555500.7023011368,4800914.927756467
79,555276.719875876,4800933.972961222
80,555202.7014576787,4801185.92597796
81,555205.6689158418,4801417.961293812
82,555025.6857640151,4801747.906735218
83,554699.7046173381,4801938.955431158
84,554594.7104372026,4802177.892079809
85,554416.61648374,4802208.886416091
86,554076.5292524182,4802274.349771912
87,553995.1207019758,4802373.544652827
88,553772.7108393582,4802547.917512837
89,553493.7133347902,4802656.988603177
90,550268.6688355822,4803588.032512159
91,549729.6887223193,4803673.004657659
92,549354.1347935717,4803842.508071398
93,548701.0170220494,4803584.991367454
94,547678.6838184972,4804064.705007439
95,547941.6263237565,4804255.48211292
96,554842.4424890206,4804677.271526385
97,554801.5030067613,4804941.493051062
98,555269.7438402993,4805094.911949049
99,555187.6792101087,4805523.94718099
100,555167.7227121409,4805785.895125821
101,555530.9891318465,4805776.989278441
