link_id,from_node_id,to_node_id,directed,length,geometry_id,allowed_uses,lanes,travel_time
285,451,452,1,297.95,285,transit,1,1.0
286,452,453,1,493.8,286,transit,1,2.0
287,453,454,1,1240.36,287,transit,1,2.0
288,454,455,1,475.44,288,transit,1,2.0
289,455,456,1,1256.89,289,transit,1,3.0
290,456,457,1,629.61,290,transit,1,1.0
291,457,458,1,540.11,291,transit,1,1.0
292,458,459,1,720.34,292,transit,1,2.0
293,459,460,1,876.07,293,transit,1,2.0
294,460,461,1,648.8,294,transit,1,2.0
295,461,462,1,595.24,295,transit,1,1.0
296,462,463,1,381.26,296,transit,1,1.0
297,463,464,1,615.11,297,transit,1,2.0
298,464,465,1,1042.46,298,transit,1,4.0
299,465,466,1,421.27,299,transit,1,1.0
300,466,467,1,1051.48,300,transit,1,3.0
301,467,468,1,532.59,301,transit,1,1.0
302,468,469,1,574.07,302,transit,1,1.0
303,469,470,1,1101.18,303,transit,1,3.0
304,470,471,1,525.52,304,transit,1,2.0
305,471,472,1,536.01,305,transit,1,1.0
306,472,473,1,525.3,306,transit,1,2.0
307,473,474,1,858.42,307,transit,1,2.0
308,474,475,1,646.62,308,transit,1,1.0
309,475,476,1,623.2,309,transit,1,1.0
310,476,477,1,961.22,310,transit,1,2.0
311,477,478,1,1213.12,311,transit,1,3.0
312,478,479,1,1810.01,312,transit,1,4.0
313,479,480,1,683.65,313,transit,1,2.0
314,286,287,1,892.6,314,transit,1,2.0
315,287,288,1,577.56,315,transit,1,2.0
316,288,289,1,434.76,316,transit,1,1.0
317,289,290,1,1181.45,317,transit,1,2.0
318,290,291,1,674.22,318,transit,1,2.0
319,291,292,1,827.15,319,transit,1,2.0
320,292,293,1,340.91,320,transit,1,1.0
321,293,294,1,423.74,321,transit,1,2.0
322,294,295,1,375.65,322,transit,1,1.0
323,295,296,1,395.83,323,transit,1,1.0
324,296,297,1,736.76,324,transit,1,3.0
325,297,298,1,187.08,325,transit,1,2.0
326,298,299,1,445.66,326,transit,1,2.0
327,299,300,1,394.86,327,transit,1,1.0
328,300,301,1,774.45,328,transit,1,2.0
