OBJECTID,Stage1,RouteLocationStage1,Stage2,RouteLocationStage2,TravelDirection,Oneway,RouteStatus,EditDate,GlobalID
354,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{8E50FE69-7037-43E8-8F64-85BD907E1CE5}
355,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{1E87AA0D-2796-427E-99E8-F6BA01D499A0}
356,aBRT,Curbside,LRT,Centre,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{B714B2FF-A5B1-4DAD-8E6D-C1D985F71ED5}
357,aBRT,Curbside,LRT,Centre,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{F15D8E5B-FE1F-4718-B27E-C9BCC5DB523E}
358,aBRT,Curbside,,,Southbound,Yes,Planned,2015/07/30 09:50:41+00,{F25AE247-FE0A-44B2-9930-E070BA6A8A24}
359,aBRT,Curbside,,,Southbound,Yes,Planned,2015/07/30 09:50:41+00,{0521FE3F-9153-4106-8D09-5865D1B9CC60}
360,aBRT,Curbside,,Curbside,Bi-Directional,No,Planned,2017/04/21 13:24:16+00,{EB9BF9C9-EF86-4186-B3D6-3682C8B60BF4}
361,aBRT,Curbside,,,Southbound,Yes,Planned,2015/07/30 09:50:41+00,{23412EA5-7124-440C-BED5-EE19880F747D}
362,aBRT,Curbside,,,Southbound,Yes,Planned,2015/07/30 09:50:41+00,{6CB01C5E-54A8-4262-991A-45EAF580B3F2}
363,aBRT,Curbside,,,Bi-Directional,No,Planned,2017/03/28 11:41:59+00,{5E049BA3-35D4-44E5-8286-E2118D073365}
364,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{9AC7CC68-9F47-480F-8D99-B78B43209EDC}
366,aBRT,Curbside,,,Southbound,Yes,Planned,2015/07/30 09:50:41+00,{F2E64F41-FA0F-48F5-87BD-697AF2BE946E}
367,aBRT,Curbside,,,Southbound,Yes,Planned,2015/07/30 09:50:41+00,{CAF319F0-B459-4E93-9BF5-7721AAFB3F8C}
368,aBRT,Curbside,,Centre,Bi-Directional,No,Planned,2017/04/21 13:24:16+00,{6762895D-D47D-4918-8AB6-F913E87BE37B}
369,aBRT,Curbside,,,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{7A0A7C73-6E32-48D0-BA0B-B0A90E904EC3}
370,aBRT,Curbside,,,Southbound,Yes,Planned,2015/07/30 09:50:41+00,{60E9063F-C7B2-4B2F-8C2A-1850D5E88D29}
371,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{C9BA6657-CAAD-40A1-B752-CDCA2C6C52A7}
372,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{0D17D966-2CAD-4FE5-B245-59F3E1A8DEFC}
373,aBRT,Curbside,LRT,Centre,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{DFF373B4-A254-4F45-A47D-9CB4DCD05CBD}
