zone_id_from,zone_id_to,demand
22001,22001,0.0
22001,21903,99.45423562448408
22001,21414,599.0776613336316
22001,21412,99.77584616005252
22001,21417,99.99669029120959
22001,21411,249.83771766060698
22001,21410,99.9552328889598
22001,21418,399.99702315858934
21903,22001,199.95989446766424
21903,21903,0.0
21903,21414,99.65708409155638
21903,21412,199.00081069510745
21903,21417,99.99260319448283
21903,21411,249.63759397300282
21903,21410,99.90000202667363
21903,21418,299.9950101770289
21414,22001,599.9017180591533
21414,21903,599.9978632546179
21414,21414,0.0
21414,21412,298.8915462521772
21414,21417,99.99998642602547
21414,21411,299.67866926443384
21414,21410,189.85963160045333
21414,21418,499.9932069088368
21412,22001,499.5529487277198
21412,21903,399.99221897513326
21412,21414,199.99955489467607
21412,21412,0.0
21412,21417,99.9999453836704
21412,21411,399.7062864775577
21412,21410,399.7974355427592
21412,21418,499.9628957802315
21417,22001,749.9999382122733
21417,21903,189.99999965974536
21417,21414,99.99999997734209
21417,21412,699.9999998295232
21417,21417,0.0
21417,21411,99.99999999525915
21417,21410,399.99999999381305
21417,21418,499.9999999997715
21411,22001,498.12303082292743
21411,21903,299.9355345037418
21411,21414,99.99754112059362
21411,21412,99.99954984325308
21411,21417,99.99959371432597
21411,21411,0.0
21411,21410,398.4980345250544
21411,21418,499.59034928427457
21410,22001,296.5747226616716
21410,21903,99.96938004984789
21410,21414,599.978975677374
21410,21412,99.99935849358408
21410,21417,249.99931509742837
21410,21411,99.9998751202223
21410,21410,0.0
21410,21418,499.5904074532205
21418,22001,186.31318834443803
21418,21903,199.68113622448266
21418,21414,99.97980005777397
21418,21412,99.97052706956967
21418,21417,99.99746088019434
21418,21411,99.99147671890194
21418,21410,99.99587649615518
21418,21418,0.0
