zone_id_from,zone_id_to,demand
22001,22001,0.0
22001,21903,0.5457643755159022
22001,21414,0.9223386663683523
22001,21412,0.2241538399474808
22001,21417,0.0033097087904189228
22001,21411,0.16228233939300465
22001,21410,0.04476711104020298
22001,21418,0.002976841410691159
21903,22001,0.040105532335779286
21903,21903,0.0
21903,21414,0.3429159084436079
21903,21412,0.9991893048925705
21903,21417,0.007396805517157506
21903,21411,0.36240602699718355
21903,21410,0.0999979733263476
21903,21418,0.004989822971060042
21414,22001,0.09828194084681985
21414,21903,0.0021367453821380606
21414,21414,0.0
21414,21412,1.1084537478227778
21414,21417,1.3573974527237453e-05
21414,21411,0.3213307355661422
21414,21410,0.1403683995466826
21414,21418,0.006793091163229685
21412,22001,0.44705127228013775
21412,21903,0.007781024866700964
21412,21414,0.00044510532392864834
21412,21412,0.0
21412,21417,5.461632960739496e-05
21412,21411,0.29371352244227483
21412,21410,0.20256445724079133
21412,21418,0.03710421976851035
21417,22001,6.178772664348235e-05
21417,21903,3.402546278788081e-07
21417,21414,2.2657926265073925e-08
21417,21412,1.7047674407819353e-07
21417,21417,0.0
21417,21411,4.740847345476317e-09
21417,21410,6.18692531231079e-09
21417,21418,2.284566846959788e-10
21411,22001,1.8769691770726464
21411,21903,0.06446549625819491
21411,21414,0.0024588794063813355
21411,21412,0.00045015674693579723
21411,21417,0.00040628567403553387
21411,21411,0.0
21411,21410,1.5019654749456202
21411,21418,0.40965071572535267
21410,22001,3.4252773383283683
21410,21903,0.03061995015210893
21410,21414,0.021024322626059095
21410,21412,0.0006415064159262305
21410,21417,0.0006849025716211495
21410,21411,0.00012487977770561708
21410,21410,0.0
21410,21418,0.40959254677949636
21418,22001,13.68681165556199
21418,21903,0.318863775517351
21418,21414,0.02019994222601766
21418,21412,0.029472930430317353
21418,21417,0.002539119805663457
21418,21411,0.008523281098066762
21418,21410,0.004123503844817656
21418,21418,0.0
